unique_id,metric,AutoARIMA,AutoETS,CES,AutoRegressive,MSTL,HoltWinters,AutoTheta,ADIDA,CrostonClassic,CrostonOptimized,CrostonSBA,IMAPA,SES,SESOpt,NHITS,NBEATS,TFT,TiDE,DeepAR,DeepAR-median,DeepAR-lo-90,DeepAR-lo-80,DeepAR-hi-80,DeepAR-hi-90,AutoNHITS,AutoPatchTST,AutoTimesNet,Chronos_tiny,Chronos_mini,Chronos_small
10_1102_2,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1106_14,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1108_14,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1110_14,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1111_2,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1112_14,smape,1.0,0.8934979665007438,0.5580135463187577,0.9190998563316748,0.9804512695056951,0.8318274925042797,0.5877300088219009,0.9600696643887054,0.9598733765658709,0.8934518074366232,0.9618411898600878,0.8812003376406153,0.26987731718743846,0.8513819067154597,0.039729510827516336,0.035142603727924,0.09283108538327123,0.6481639096009842,0.19027223734211177,0.18788328740465526,0.645131157952095,0.4985554437421758,0.04177127011562094,0.05466856652827613,0.02564421954172099,0.07596155039329186,0.1668426009238988,0.9999999984214617,0.9999999984214617,0.08408057465101244
10_1114_14,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1151_16,smape,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9999995546413971,1.0,0.9999769124511573,0.9999815829654616,0.9999978679370145,0.9999940726918957,1.0,1.0,0.9999442380030648,0.9999180781247192,0.9999996546802196,0.9999999972663975,1.0,0.9999999999964717,0.9999999999964717,0.9999999999964717
10_1151_72,smape,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9999996041257585,1.0,0.9999708784259629,0.9999857048728586,0.9999976122442851,0.9999960543936985,1.0,1.0,0.9999469570361115,0.9999206129967186,0.9999994315340127,0.9999999978451848,1.0,0.9999999999955563,0.9999999999955563,0.9999999999955563
10_1204_2,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1205_16,smape,0.0,0.0,0.005402698830820417,0.07704491895453262,0.03485561574470196,0.11236285169903644,0.06399908366753776,0.2828792981514912,0.7881394982761971,0.4516272500368559,0.7976608314180333,0.1571667838618063,0.003921568627450996,5.062699337255211e-15,0.007380814407687317,0.008461449091375617,0.024134748796632438,0.1942609155335813,0.01291735936889413,0.013278163600168567,0.17658409427428196,0.134155710526822,0.08504535775211365,0.11142453836387801,0.0028204916508866576,2.3961049413392204e-05,0.1306048386473936,0.000244488602282641,0.000244488602282641,0.000244488602282641
10_1211_2,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1305_16,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1312_16,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1312_2,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1312_74,smape,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9999998411754563,1.0,0.999986621087271,0.999994623590486,0.9999989526743082,0.9999999689869906,1.0,1.0,0.9999743502964029,0.9999603080901079,0.9999997210193599,0.9999999992508244,1.0,0.9999999999979596,0.9999999999979596,0.9999999999979596
10_1313_74,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1404_2,smape,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1407_16,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10_1407_72,smape,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
