unique_id,ds,y,AutoARIMA,AutoETS,CES,AutoRegressive,MSTL,HoltWinters,AutoTheta,ADIDA,CrostonClassic,CrostonOptimized,CrostonSBA,IMAPA,SES,SESOpt,NHITS,NBEATS,TFT,TiDE,DeepAR,DeepAR-median,DeepAR-lo-90,DeepAR-lo-80,DeepAR-hi-80,DeepAR-hi-90,AutoNHITS,AutoPatchTST,AutoTimesNet,Chronos_tiny,Chronos_mini,Chronos_small
10_1101_14,2023-10-01,154934.32205263738,154934.32205263738,154934.3220526501,148765.3125,152995.9097045786,5379.386546988011,-281511.54096476815,127000.44079295297,155099.2801580025,240579.93452052466,155099.2801580025,228550.93779449843,155099.2801580025,155345.17531669006,154934.3346796779,155116.39,155004.22,154740.22,167901.42,148157.16,146736.34,113761.414,120774.29,165936.12,175540.83,215447.66,155271.05,158634.38,155213.953125,155213.953125,159466.375
10_1101_14,2023-11-01,154913.64256443398,154934.32205263738,154934.3220526501,129117.265625,151110.042651952,56375.02240633682,-279134.22581763705,99345.88586739337,155099.2801580025,240579.93452052466,155099.2801580025,228550.93779449843,155099.2801580025,155345.17531669006,154934.3346796779,154628.03,154527.97,154694.58,152095.7,144761.77,144962.03,119414.836,130082.81,159977.62,166083.81,215110.34,155080.36,160966.61,155213.953125,159466.375,157340.171875
10_1101_14,2023-12-01,93257.29893189215,154934.32205263738,154934.3220526501,126329.21875,149275.29652905185,117988.67100655183,-286315.28428984457,71691.33094183376,155099.2801580025,240579.93452052466,155099.2801580025,228550.93779449843,155099.2801580025,155345.17531669006,154934.3346796779,154333.94,154600.78,154562.27,83292.586,142208.47,142959.4,118053.33,127977.805,155183.69,160661.39,215664.8,154848.8,162455.12,312554.125,157340.171875,178602.34375
10_1101_14,2024-01-01,93257.29893189215,154934.32205263738,154934.3220526501,112497.3984375,147490.2855810062,149948.34128547309,-229072.95830952816,44036.77601627415,155099.2801580025,240579.93452052466,155099.2801580025,228550.93779449843,155099.2801580025,155345.17531669006,154934.3346796779,154415.42,154782.53,154456.38,158573.83,141128.05,141605.62,122354.77,129866.88,154989.42,163268.34,215577.72,154953.88,164059.6,416738.8125,146709.0625,357204.6875
10_1102_14,2023-10-01,3081.2437423072674,6587.765655058462,6587.4533048791955,5513.39697265625,23848.155437432004,6246.12776607366,-11132.221604562219,-545.8991905176299,7701.895187814491,34790.20558509849,7701.895187814491,33050.69530584356,7701.895187814491,5436.215049198316,5474.571507289596,6484.698,6229.3677,6089.693,-26734.86,5152.4805,3762.3984,-18810.734,-11405.194,24821.91,30482.635,7216.2285,6942.8076,6080.1963,3364.898681640625,3364.898681640625,34770.6171875
10_1102_14,2023-11-01,6137.3124554973465,6587.765655058462,6587.4533048791955,4879.07763671875,32495.30515084793,4324.515693759797,-1755.2944205937401,-3442.5127326628754,7701.895187814491,34790.20558509849,7701.895187814491,33050.69530584356,7701.895187814491,5436.215049198316,5474.571507289596,6910.27,6628.165,6093.821,15150.248,4789.142,4356.752,-26099.389,-12563.166,18112.262,23771.648,7141.908,6741.8135,6218.3564,3364.898681640625,3364.898681640625,38696.328125
10_1102_14,2023-12-01,6151.698186421454,6587.765655058462,6587.4533048791955,4630.84765625,36827.37407333473,97658.61499527722,83198.50390889042,-6339.12627480811,7701.895187814491,34790.20558509849,7701.895187814491,33050.69530584356,7701.895187814491,5436.215049198316,5474.571507289596,7430.104,7486.137,6093.5884,31567.465,4126.093,2383.3994,-10407.565,-7565.872,18463.947,27594.64,8139.3594,6498.29,6235.8325,3364.898681640625,3364.898681640625,41780.8203125
10_1102_14,2024-01-01,9206.867791428776,6587.765655058462,6587.4533048791955,4294.22119140625,38997.6639111595,-14476.390132601666,-14506.187077597173,-9235.739816953354,7701.895187814491,34790.20558509849,7701.895187814491,33050.69530584356,7701.895187814491,5436.215049198316,5474.571507289596,7281.943,7337.094,6104.3735,-5345.0713,3585.833,3512.993,-15426.489,-11316.553,15528.351,19706.05,7100.998,6608.8984,6369.661,3364.898681640625,3364.898681640625,47108.57421875
10_1104_14,2023-10-01,995.3127583116851,0.0,828.0739580880318,1232.83740234375,1809.5774727991363,-578.4569494082704,-3836.3654212769407,827.5822199993569,583.7392093335413,4610.72920881849,583.7392093335413,4380.192748377565,583.7392093335413,704.1130666736957,827.5820280149269,829.6593,830.6951,899.10614,523.0305,942.85986,928.6462,640.97485,707.9376,1172.4784,1228.5236,925.9039,830.72156,892.47314,832.5257568359375,969.00537109375,777.9338989257812
10_1104_14,2023-11-01,1139.1700675527597,0.0,828.0739580880318,1229.1961669921875,1717.3794129735802,736.2683272284918,-5572.302376501672,827.5822199993569,583.7392093335413,4610.72920881849,583.7392093335413,4380.192748377565,583.7392093335413,704.1130666736957,827.5820280149269,829.61926,831.3168,894.1141,331.04715,974.7305,984.01587,472.75906,619.13306,1296.366,1351.5441,1085.9772,829.2241,915.5069,600.5103759765625,1037.2451171875,586.8624267578125
10_1104_14,2023-12-01,1362.1488968764254,0.0,828.0739580880318,1220.4072265625,1726.0401285237697,347.9506007111907,-5963.77357620542,827.5822199993569,583.7392093335413,4610.72920881849,583.7392093335413,4380.192748377565,583.7392093335413,704.1130666736957,827.5820280149269,827.83124,832.48553,895.84503,491.6219,968.2311,1038.009,483.19116,559.2804,1311.5167,1575.4813,1221.0752,827.40955,868.069,423.08685302734375,1119.1329345703125,27923.73046875
10_1104_14,2024-01-01,1802.7119064272165,0.0,828.0739580880318,1211.1556396484375,1725.2265756791305,13111.075584550821,12762.684517393325,827.5822199993569,583.7392093335413,4610.72920881849,583.7392093335413,4380.192748377565,583.7392093335413,704.1130666736957,827.5820280149269,826.22485,828.2092,896.4036,292.7147,943.5149,944.58777,489.8225,597.40155,1243.2947,1354.1814,1319.8813,828.2352,815.2123,109.18372344970703,1201.020751953125,27.295949935913086
10_1105_16,2023-10-01,117288.66244061365,113529.49112850873,133251.0148834782,52883.3125,179044.8031242957,221558.85563966428,422237.83035547554,123869.22920380926,167678.11238573698,226710.5263343673,167678.11238573698,215375.00001764894,167678.11238573698,122961.9524630309,117288.9178157061,124025.97,111389.234,117296.72,-170105.88,116794.56,116960.89,104541.64,107692.02,127155.64,130463.12,147975.3,123293.72,117122.07,30693.115234375,119362.1015625,117656.9375
10_1105_16,2023-11-01,117321.92944337566,0.0,134354.68558522378,17955.56640625,207722.6899539315,153963.3710233948,409154.9478079354,130383.7377731512,167678.11238573698,226710.5263343673,167678.11238573698,215375.00001764894,167678.11238573698,122961.9524630309,117288.9178157061,141049.89,124896.99,117287.914,408885.53,116571.1,117303.83,101111.13,104960.92,131279.23,136076.2,148571.02,119890.72,117092.51,0.0032491832971572876,119362.1015625,117656.9375
10_1105_16,2023-12-01,117321.92944337566,0.0,135417.34483920774,13415.732421875,221039.9274611436,1892229.1331561033,2155352.893139354,136898.24634249313,167678.11238573698,226710.5263343673,167678.11238573698,215375.00001764894,167678.11238573698,122961.9524630309,117288.9178157061,147669.25,161473.47,117265.52,328044.53,116468.336,118662.34,97014.37,100365.61,131071.41,137527.36,152789.83,115778.69,117097.57,0.0032491832971572876,119362.1015625,117656.9375
10_1105_16,2024-01-01,117321.92944337566,0.0,136440.51659532284,8051.44482421875,227224.09353575917,1265401.2706115462,1378024.710690239,143412.75491183507,167678.11238573698,226710.5263343673,167678.11238573698,215375.00001764894,167678.11238573698,122961.9524630309,117288.9178157061,114087.2,120027.91,117253.836,-94475.46,116423.67,116041.984,98816.43,105508.91,131871.0,136690.27,119848.45,117654.0,117076.74,0.0032491832971572876,117656.9375,117656.9375
10_1108_2,2023-10-01,160130.26824078843,149251.05922943217,146768.70723593206,176464.6875,223915.30690166441,-46635.37705195823,-627100.2827379507,86666.81119103794,177597.03789651915,334826.6551490679,177597.03789651915,318085.3223916145,177597.03789651915,158615.35577157116,149058.63924299687,149659.19,150640.58,152911.05,220336.52,147096.06,160076.94,-240816.39,-167316.52,485432.7,601770.7,261711.9,150074.62,123744.62,183538.0625,183538.0625,244717.421875
