Model,MAAPE_mean,MAAPE_median
AutoPatchTST,0.4422953173994341,0.3322985393234644
NHITS,0.45379374277209505,0.3527083708474579
NBEATS,0.4558996310345517,0.3494548586845272
SESOpt,0.4878631383995663,0.39009898682427224
AutoTimesNet,0.4946032110718226,0.36933862052255373
Chronos_tiny,0.5055048861958517,0.4394675890501146
Chronos_mini,0.5097356793943194,0.4506479522568785
SES,0.5213191170306172,0.4136524648835581
Chronos_small,0.534904541784318,0.5036762916777121
AutoETS,0.5372963928197556,0.4393164054252018
DeepAR,0.5408745661579122,0.44277819436047056
DeepAR-median,0.5418789334137531,0.4599762954148396
AutoNHITS,0.5466496157108113,0.45518141303109494
TFT,0.5608593666544116,0.48043796827262575
AutoARIMA,0.5710973707524672,0.5145011293470144
CES,0.5894988624240717,0.5114325649815037
DeepAR-hi-80,0.6543145578755446,0.5797201353849881
DeepAR-lo-80,0.6597135977812308,0.587372610381356
CrostonOptimized,0.668033354533639,0.5504681113225954
IMAPA,0.6712052301626344,0.5688820070296577
ADIDA,0.6712052301626344,0.5688820070296577
TiDE,0.6923790423994789,0.5859938033194878
DeepAR-hi-90,0.7026595358685823,0.6221614955675987
AutoTheta,0.7036358528352356,0.6204903322114815
DeepAR-lo-90,0.717009252569774,0.6349972085925532
AutoRegressive,0.7960895238046555,0.6930296860084841
MSTL,0.8514950450131074,0.7990023642535636
CrostonSBA,0.8740285728432021,0.770157174423828
CrostonClassic,0.8894836289471372,0.7956808595175324
HoltWinters,1.0216025075259056,1.0436376209024998
