Model,MAAPE_mean,MAAPE_median
AutoARIMA,0.8228080999097179,1.0
SESOpt,1.1304505067276278,1.5707963267948966
SES,1.132803252360553,1.5707963267948966
AutoETS,1.1333770791283044,1.5707963267948966
NHITS,1.1387735277151398,1.5707963267948966
NBEATS,1.1394410973416025,1.5707963267948966
CES,1.1402608892509813,1.5707963267948966
AutoNHITS,1.140743220308148,1.5707963267948966
DeepAR,1.1410831221808226,1.5707963267948966
DeepAR-median,1.1416445167166038,1.5707963267948966
AutoRegressive,1.1425109273658942,1.5707963267948966
AutoPatchTST,1.1428314424759727,1.5707963267948966
AutoTimesNet,1.1453833142500098,1.5707963267948966
IMAPA,1.1473095845319916,1.5707963267948966
TFT,1.1492357444489092,1.5707963267948966
MSTL,1.152968203958661,1.5707963267948966
AutoTheta,1.1556354228345698,1.5707963267948966
DeepAR-lo-80,1.158263674406546,1.5707963267948966
Chronos_tiny,1.158920977836956,1.5707963267948966
DeepAR-hi-80,1.170292455826931,1.5707963267948966
ADIDA,1.1709536475488853,1.5707963267948966
HoltWinters,1.1728127793932723,1.5707963267948966
DeepAR-lo-90,1.1739328442856194,1.5707963267948966
Chronos_mini,1.1814466593176676,1.5707963267948966
Chronos_small,1.1825968045805326,1.5707963267948966
DeepAR-hi-90,1.1867341121877526,1.5707963267948966
CrostonOptimized,1.1980537414091545,1.5707963267948966
TiDE,1.2049701417475487,1.5707963267948966
CrostonClassic,1.2692779497268287,1.5707963267948966
CrostonSBA,1.2706969486497173,1.5707963267948966
