Model,MAAPE_mean,MAAPE_median
AutoARIMA,1.048259670314264,1.0
AutoPatchTST,1.3010171923143308,1.5707963267948966
TFT,1.301085266198176,1.5707963267948966
DeepAR,1.3075323379380261,1.5707963267948966
NBEATS,1.3088471408529694,1.5707963267948966
Chronos_tiny,1.3092458157717057,1.5707963267948966
DeepAR-median,1.3095236894316886,1.5707963267948966
Chronos_small,1.3104114722917068,1.5707963267948966
NHITS,1.3115111864083249,1.5707963267948966
SESOpt,1.3141104637822927,1.5707963267948966
DeepAR-hi-80,1.3193009404719909,1.5707963267948966
AutoETS,1.3225379051472224,1.5707963267948966
SES,1.3252287684826052,1.5707963267948966
Chronos_mini,1.3267098181634207,1.5707963267948966
AutoTheta,1.33205624980855,1.5707963267948966
CES,1.333430828854533,1.5707963267948966
DeepAR-hi-90,1.3338071405576504,1.5707963267948966
AutoRegressive,1.3400837703786308,1.5707963267948966
ADIDA,1.3402971633748857,1.5707963267948966
AutoTimesNet,1.342136369486984,1.5707963267948966
IMAPA,1.342286401161292,1.5707963267948966
AutoNHITS,1.3429341873301777,1.5707963267948966
CrostonOptimized,1.3462616955945303,1.5707963267948966
CrostonSBA,1.3510624272827396,1.5707963267948966
CrostonClassic,1.3523683057195337,1.5707963267948966
TiDE,1.3544326315625284,1.5707963267948966
MSTL,1.3671603464264288,1.5707963267948966
DeepAR-lo-80,1.378990920248818,1.5707963267948966
HoltWinters,1.386806103264791,1.5707963267948966
DeepAR-lo-90,1.3958014738752949,1.5707963267948966
