Model,MAAPE_mean,MAAPE_median
NBEATS,0.27246802107591367,0.18484323126635233
TFT,0.28149940680911545,0.18923761048648585
NHITS,0.2825261943043139,0.19426180439345903
AutoPatchTST,0.28463563368295347,0.19401859630735419
DeepAR,0.28982257714695336,0.1974430814773461
DeepAR-median,0.29091499626832407,0.19930105007082644
SESOpt,0.295761042527031,0.20511379350065018
SES,0.29746918387482213,0.19805839281250295
AutoETS,0.2987942306645496,0.2015499611309552
AutoTimesNet,0.30332682933235244,0.1975406843162026
CES,0.30834307106026393,0.206685364137297
AutoARIMA,0.30870899257229767,0.21548094245401433
Chronos_tiny,0.3096302235972881,0.2287830575616997
AutoTheta,0.312246615322956,0.21130224727646207
CrostonOptimized,0.3154823900272588,0.21427525218490306
Chronos_small,0.31558048281865186,0.24089600312412013
IMAPA,0.31609305328543297,0.2154255263938637
ADIDA,0.31609305328543297,0.2154255263938637
Chronos_mini,0.3218754297570891,0.24199263800778442
AutoNHITS,0.323565824068873,0.2449803168542512
AutoRegressive,0.32604536877226453,0.22852936808914315
TiDE,0.3297036591340438,0.23259194280385886
DeepAR-lo-80,0.3299637265141737,0.2678590365143111
CrostonSBA,0.3507048493380443,0.2579660350072747
CrostonClassic,0.358233639150068,0.2656889075671133
DeepAR-hi-80,0.373460395692767,0.27510195369395996
DeepAR-lo-90,0.37778037508027396,0.31331826346379965
MSTL,0.39047659546757474,0.2789834135277148
DeepAR-hi-90,0.41700568108339314,0.31995227728587666
HoltWinters,0.43486425109602433,0.3271392209336599
