Model,MAAPE_mean,MAAPE_median
AutoARIMA,0.6053591026432589,0.538953751635726
AutoPatchTST,0.7145549386606781,0.42281828673100924
AutoNHITS,0.7158339167255244,0.43322988010305463
AutoTimesNet,0.7250874180561574,0.4498418052262475
SESOpt,0.7277434574390842,0.4746549145536041
TFT,0.7314942822852265,0.4711909844870832
NBEATS,0.7341473619037607,0.47236828219329946
DeepAR-median,0.7344214201675446,0.4803329723711729
DeepAR,0.7345350659988623,0.4820275786857933
SES,0.7347698948497058,0.4689058853519038
AutoETS,0.7372928894732809,0.4893854749924317
Chronos_tiny,0.743106394883456,0.5051949346507756
NHITS,0.7466791252052618,0.49372607074620634
CES,0.7516219973895178,0.5199758257740147
Chronos_small,0.7534345168601452,0.5548102302279186
Chronos_mini,0.758881242371594,0.5750837912207761
DeepAR-lo-80,0.7687328543670686,0.5388621389996732
IMAPA,0.7690117815871332,0.5547231354789963
AutoTheta,0.7737616792823614,0.5712996718330348
ADIDA,0.7772863901466285,0.5510644609861592
CrostonOptimized,0.7859587220655991,0.561679872950495
AutoRegressive,0.7873647126681012,0.6091277607815396
DeepAR-lo-90,0.8007077677094149,0.6269371612547062
DeepAR-hi-80,0.8021011929639265,0.6365451177181674
TiDE,0.8080685116745948,0.5899909937391449
MSTL,0.8272142192579343,0.7267277781596118
DeepAR-hi-90,0.832635316694073,0.705783545631378
CrostonSBA,0.8537096373057238,0.7220487157695884
CrostonClassic,0.8584121451400704,0.7235545368993539
HoltWinters,0.8769889517738819,0.7930702011877938
